strand,location
+,3112
+,6827
+,9494
+,17435
+,18907
+,20844
+,22197
+,22463
-,22470
+,22508
+,26735
+,28959
+,35746
+,42895
-,44797
+,44830
+,47679
+,49987
+,51532
+,52593
+,53055
+,53407
+,55713
+,56226
+,59438
+,64702
+,70070
+,70379
+,78946
+,80774
+,82735
+,90274
+,106057
+,112759
+,121030
+,134114
+,150381
+,154740
+,155952
+,158519
+,178559
+,179619
+,194654
+,196081
+,202126
+,205300
+,211761
+,214159
+,220111
+,223221
-,224043
+,227992
-,232974
+,233012
-,235389
-,238137
+,238185
+,245087
+,249578
+,249901
+,251352
+,253516
-,254875
+,258842
-,260091
+,267695
+,273981
+,277081
+,281770
+,282933
+,283782
-,288614
+,292887
-,294576
+,294618
+,298367
-,299396
+,299436
+,305587
+,309327
+,310882
+,314839
+,317641
+,319181
-,320405
-,324000
+,324036
+,326808
+,336131
-,339109
+,339143
+,340615
+,344385
+,348619
-,349958
-,353865
+,355648
+,369709
-,371691
+,371728
-,374566
+,376421
+,403153
-,404440
+,404476
-,406919
-,408211
-,408973
-,409129
+,416234
+,416883
+,430124
-,430129
-,430583
-,435991
+,436030
-,438475
+,440051
+,444387
-,446132
+,449570
+,452774
+,455775
+,456851
-,463069
+,463104
+,466977
+,469255
+,470978
+,474650
-,475541
+,478777
+,485986
+,486294
+,488292
-,490681
-,491116
+,494417
-,495701
+,495739
+,501465
+,502883
+,505058
-,506295
+,506327
-,507675
+,509353
+,512686
-,514956
+,515035
+,517292
+,519330
+,524291
+,525678
+,527931
+,529459
-,530891
+,545999
+,548620
+,552031
+,553262
+,557494
+,558112
+,559514
-,559534
-,563531
+,563574
+,566141
-,568995
+,569034
-,570291
+,570330
-,573402
-,575666
+,575706
+,579260
+,581592
+,582533
+,586630
+,589654
-,591892
-,592203
+,592245
-,594130
-,595079
+,598592
-,604682
+,604716
-,606407
-,606655
-,608214
+,612084
-,614846
+,614880
+,616592
+,619320
-,622217
+,622270
+,624374
-,625109
-,626325
+,640519
+,644315
-,644492
-,648704
+,648743
-,651937
+,651990
-,657725
+,657761
+,663328
-,664691
+,664731
+,671102
+,674835
-,677867
+,679810
-,680876
+,680909
-,681107
-,685112
+,688063
+,694338
+,694607
+,696024
+,697369
+,698571
-,711418
+,711453
+,716781
+,724865
-,725999
+,726039
-,726801
-,731939
+,731972
+,736149
+,736323
+,739318
-,747037
+,747078
+,753164
+,753754
+,757681
-,785083
-,785504
+,787612
+,788674
-,789580
+,789653
-,791429
+,798285
-,803284
+,803319
-,804638
-,805415
+,809455
+,811480
+,812061
+,812599
+,813855
-,814343
+,817270
-,817770
+,820838
-,822853
-,825748
+,829298
+,830853
+,834214
+,836559
-,838741
+,838780
-,839305
+,839339
-,842011
+,842048
+,844691
+,854306
-,855079
+,855115
-,860262
-,861551
+,863861
-,867126
+,869485
-,870352
-,871322
+,874890
+,877503
+,878837
-,885808
+,885846
+,893829
+,898908
+,905730
-,909121
+,910698
-,911928
+,911964
-,916078
-,919329
+,922542
+,924210
+,926778
+,928111
+,928691
+,930630
-,934441
+,934480
+,938205
+,939306
+,941136
-,941142
-,942407
-,944922
+,944962
+,952984
+,953038
+,953335
-,953342
+,953373
+,955838
-,959493
+,965826
-,966178
+,967197
+,969152
+,970656
-,972822
+,972859
+,980358
-,984171
-,984215
+,985747
+,988419
+,989627
+,997082
+,997634
+,1000234
+,1002447
