strand,location
+,297.0
+,3620.0
-,10702.0
+,10843.0
+,14672.0
+,22394.0
+,24157.0
+,24770.0
+,29785.0
+,30955.0
+,33610.0
-,34084.0
-,34559.0
-,38283.0
+,38320.0
-,43869.0
+,43926.0
-,46410.0
+,46423.0
+,48263.0
-,48272.0
+,49440.0
+,50309.0
+,54205.0
+,55412.0
-,60971.0
+,61154.0
-,65976.0
-,68077.0
-,69123.0
+,69136.0
+,70704.0
-,75029.0
-,76202.0
-,79577.0
+,79653.0
+,91113.0
-,91146.0
+,92408.0
+,93328.0
+,95365.0
+,99438.0
+,100405.0
+,102311.0
-,102502.0
-,108944.0
-,110114.0
+,110243.0
+,114033.0
-,115524.0
+,115796.0
+,116488.0
+,119358.0
-,137046.0
+,137191.0
+,139248.0
-,140675.0
+,140754.0
+,147204.0
-,157734.0
-,162291.0
-,163899.0
-,166439.0
+,166533.0
-,168955.0
+,169226.0
-,174114.0
+,174227.0
+,177221.0
+,181901.0
-,182044.0
-,189555.0
-,190371.0
+,190480.0
+,191441.0
-,200205.0
+,200260.0
-,205370.0
+,205837.0
-,211592.0
+,211682.0
-,222388.0
+,222650.0
-,225767.0
-,227815.0
+,227870.0
+,228158.0
+,230986.0
-,231190.0
+,232726.0
+,235802.0
+,239650.0
-,241907.0
+,243662.0
+,250541.0
+,251477.0
+,254072.0
-,256121.0
+,256170.0
+,259626.0
-,259707.0
-,262200.0
-,263430.0
+,263481.0
+,264330.0
-,266310.0
+,266361.0
-,273152.0
+,273323.0
-,275733.0
+,275843.0
+,290074.0
+,290904.0
+,292001.0
-,297221.0
-,298818.0
+,299249.0
+,300340.0
-,300489.0
+,302318.0
-,302526.0
+,303709.0
-,309614.0
+,309672.0
-,311710.0
+,311750.0
-,313958.0
+,314263.0
+,318785.0
-,318789.0
-,328676.0
+,328788.0
-,332754.0
+,332962.0
+,336597.0
-,336698.0
+,337830.0
-,343239.0
+,343368.0
-,347377.0
+,347617.0
-,347943.0
-,356686.0
+,356834.0
-,360436.0
+,360532.0
-,363584.0
+,363844.0
+,364824.0
+,365348.0
-,366461.0
-,367245.0
+,367323.0
-,368453.0
-,371935.0
+,372279.0
+,374588.0
-,375299.0
-,377866.0
+,377988.0
-,385041.0
-,385712.0
-,386125.0
-,387872.0
+,388244.0
+,389210.0
+,390196.0
+,391385.0
+,392921.0
-,393928.0
+,394071.0
+,395187.0
+,396226.0
+,397304.0
+,398368.0
-,399337.0
+,399399.0
+,402428.0
-,405177.0
+,405415.0
+,407190.0
-,410653.0
+,410672.0
-,413041.0
+,413220.0
-,418933.0
+,420494.0
+,420772.0
+,422281.0
+,424660.0
+,429166.0
-,429167.0
-,432202.0
-,433201.0
+,433282.0
+,440094.0
+,448579.0
+,450739.0
+,453734.0
+,454680.0
-,457388.0
-,461662.0
-,472257.0
+,487872.0
+,492125.0
+,492252.0
+,492344.0
+,492532.0
+,492805.0
+,492902.0
+,493099.0
+,495018.0
+,498013.0
-,500084.0
+,500088.0
+,503048.0
-,503061.0
-,507818.0
+,529558.0
-,536021.0
+,536092.0
+,537545.0
+,538582.0
+,540401.0
+,545197.0
-,545760.0
+,547701.0
-,547915.0
+,551039.0
+,555223.0
-,558409.0
-,560623.0
+,560799.0
+,562929.0
+,563993.0
-,565922.0
+,566022.0
-,569190.0
+,569584.0
-,569619.0
-,570956.0
+,571040.0
+,575825.0
-,575867.0
-,576955.0
+,577023.0
+,584809.0
-,584827.0
+,585246.0
+,590539.0
+,592308.0
+,593133.0
+,595505.0
+,597359.0
+,599987.0
+,603966.0
+,606015.0
+,608659.0
+,610212.0
-,613566.0
-,614021.0
+,614279.0
+,620943.0
-,624469.0
-,627130.0
+,627152.0
-,628728.0
+,630614.0
-,630825.0
+,635993.0
-,636047.0
+,638164.0
+,639766.0
-,639872.0
+,640036.0
+,641088.0
+,644235.0
+,646300.0
-,649967.0
+,650523.0
-,651086.0
+,656830.0
+,659278.0
-,660425.0
+,664826.0
-,670812.0
+,670815.0
-,674687.0
-,675734.0
+,675853.0
-,680094.0
+,682493.0
+,687073.0
-,687266.0
+,689460.0
+,690192.0
+,694145.0
-,694164.0
+,697118.0
-,702215.0
-,705180.0
+,705235.0
+,712314.0
-,712443.0
+,716212.0
+,718936.0
+,722519.0
-,722528.0
-,724413.0
-,726018.0
+,726071.0
+,730419.0
+,730800.0
-,736485.0
+,736526.0
-,737130.0
-,742853.0
-,744119.0
+,744189.0
-,746303.0
+,746347.0
+,747238.0
+,752727.0
+,754000.0
+,754255.0
+,755268.0
+,756388.0
-,758773.0
+,763120.0
+,768350.0
-,768738.0
-,772226.0
+,774283.0
-,774434.0
+,774645.0
+,783585.0
+,788931.0
-,791115.0
+,791320.0
+,795940.0
+,797816.0
+,799154.0
+,799984.0
+,800944.0
+,803950.0
-,804486.0
-,805982.0
-,807452.0
+,807500.0
-,809408.0
+,809452.0
-,817386.0
-,823850.0
+,824115.0
+,831440.0
-,831442.0
-,838924.0
+,838925.0
-,840574.0
+,840688.0
+,841613.0
+,843089.0
+,844975.0
-,847994.0
+,854485.0
-,854521.0
+,855509.0
+,856233.0
+,857549.0
+,860437.0
-,861743.0
-,864559.0
+,864810.0
+,866406.0
+,868321.0
+,879343.0
-,879700.0
+,880569.0
-,886223.0
+,886233.0
-,890900.0
+,891095.0
-,893818.0
+,893929.0
+,899873.0
-,906587.0
+,906611.0
+,908388.0
-,913681.0
+,913767.0
-,922131.0
+,922373.0
+,925035.0
-,928277.0
+,928286.0
+,933044.0
+,936882.0
-,938788.0
-,939565.0
+,939659.0
-,941044.0
+,941143.0
+,942141.0
+,942853.0
-,942863.0
-,946683.0
+,946862.0
-,949182.0
+,949666.0
+,951150.0
-,951160.0
+,952766.0
-,952790.0
-,960476.0
-,962158.0
-,963364.0
+,963417.0
-,968575.0
-,970525.0
+,970701.0
-,976616.0
+,976818.0
+,979252.0
-,979277.0
-,990684.0
-,993812.0
+,993924.0
+,994357.0
-,994378.0
-,1000629.0
+,1000727.0
-,1006414.0
+,1007302.0
-,1007480.0
+,1019491.0
-,1021483.0
-,1022281.0
+,1022338.0
-,1023610.0
+,1023612.0
-,1026350.0
+,1026391.0
+,1028518.0
-,1033694.0
+,1033703.0
+,1035312.0
+,1038142.0
-,1038888.0
-,1041185.0
+,1041212.0
-,1042005.0
-,1044214.0
-,1045500.0
+,1045579.0
-,1056502.0
+,1056585.0
-,1062449.0
+,1070126.0
+,1070487.0
-,1071686.0
+,1073023.0
+,1074450.0
-,1076118.0
-,1077707.0
+,1077920.0
-,1081235.0
+,1081573.0
+,1083767.0
+,1085505.0
-,1087144.0
-,1087950.0
-,1088079.0
+,1088341.0
+,1088842.0
-,1090186.0
+,1090331.0
+,1092046.0
-,1111290.0
+,1111744.0
-,1126626.0
+,1126801.0
+,1127802.0
+,1131971.0
-,1133465.0
+,1133589.0
+,1140375.0
-,1143212.0
+,1143285.0
+,1145780.0
-,1151573.0
-,1164791.0
+,1165062.0
+,1169159.0
+,1171854.0
+,1189377.0
+,1204363.0
-,1219741.0
+,1219815.0
+,1220752.0
+,1232229.0
+,1236708.0
-,1239621.0
+,1239633.0
+,1242371.0
+,1245477.0
+,1245995.0
+,1247440.0
+,1248137.0
+,1250604.0
-,1253483.0
+,1253653.0
+,1255564.0
-,1259267.0
+,1259306.0
+,1260857.0
-,1261018.0
+,1263324.0
-,1263347.0
-,1268279.0
-,1269872.0
+,1269986.0
-,1275731.0
+,1275774.0
+,1279781.0
-,1284469.0
+,1284521.0
+,1287111.0
-,1292050.0
+,1292140.0
-,1296875.0
+,1298606.0
+,1301294.0
+,1304785.0
-,1304810.0
-,1306161.0
+,1306209.0
-,1308799.0
+,1316872.0
+,1320249.0
-,1325024.0
+,1325777.0
-,1325805.0
-,1332396.0
+,1332836.0
-,1332905.0
-,1334270.0
+,1334317.0
+,1336546.0
+,1346102.0
-,1346646.0
+,1346709.0
-,1349503.0
-,1360047.0
+,1362874.0
-,1363012.0
-,1365585.0
+,1367080.0
-,1374218.0
+,1374321.0
-,1375336.0
-,1375751.0
-,1404748.0
-,1410300.0
-,1415191.0
+,1415317.0
-,1420670.0
+,1420776.0
-,1426032.0
-,1427652.0
-,1434556.0
-,1441626.0
-,1442212.0
+,1445050.0
-,1445223.0
+,1450121.0
-,1450267.0
+,1451167.0
-,1451190.0
-,1453336.0
-,1453613.0
+,1457273.0
-,1457705.0
-,1459078.0
-,1461295.0
-,1466232.0
-,1488048.0
-,1488484.0
-,1490729.0
+,1490763.0
+,1502937.0
+,1503928.0
-,1504065.0
+,1506898.0
-,1507216.0
-,1511530.0
+,1516362.0
-,1516370.0
+,1519060.0
-,1519078.0
-,1521303.0
+,1521337.0
-,1523285.0
+,1523388.0
-,1532432.0
+,1532483.0
-,1547474.0
-,1549315.0
+,1549320.0
+,1551185.0
-,1551208.0
-,1559244.0
-,1564522.0
-,1564880.0
-,1567068.0
-,1567859.0
-,1574417.0
-,1579173.0
+,1579233.0
+,1582539.0
-,1584936.0
-,1587644.0
+,1599922.0
-,1599931.0
-,1610842.0
+,1610849.0
-,1612124.0
-,1613827.0
-,1619648.0
-,1624070.0
+,1634363.0
+,1636589.0
-,1636777.0
-,1646578.0
-,1649662.0
-,1661090.0
-,1661956.0
+,1662016.0
-,1664172.0
+,1664174.0
+,1668659.0
+,1682334.0
-,1682357.0
-,1685380.0
-,1690947.0
