strand,location
+,3339.0
-,9705.0
+,9718.0
+,14172.0
+,22216.0
+,23777.0
+,24311.0
+,29637.0
+,30827.0
+,33373.0
-,33505.0
-,34325.0
-,36501.0
+,36606.0
+,42201.0
-,42231.0
-,44546.0
+,44574.0
+,47574.0
-,47596.0
+,49106.0
+,50142.0
+,54100.0
+,55291.0
-,58617.0
+,61103.0
+,63930.0
-,64185.0
-,66202.0
-,68151.0
+,70633.0
+,73172.0
-,73379.0
-,75350.0
-,76471.0
-,90855.0
+,91059.0
+,92296.0
+,93284.0
+,95255.0
+,99270.0
+,100137.0
+,101194.0
-,101320.0
+,106426.0
-,106457.0
-,109058.0
+,113760.0
-,115209.0
+,115264.0
+,116088.0
+,119233.0
-,136075.0
+,136110.0
+,138912.0
-,138934.0
+,140410.0
+,147045.0
+,156927.0
-,157155.0
-,157904.0
-,162444.0
-,164075.0
-,166613.0
+,166734.0
-,173733.0
+,173751.0
+,177116.0
+,180187.0
-,180199.0
+,188581.0
-,188682.0
-,189645.0
+,191158.0
+,199412.0
-,199533.0
+,201913.0
-,201998.0
+,211084.0
-,211095.0
-,212870.0
+,213850.0
+,223971.0
-,224185.0
-,225858.0
+,228077.0
-,229561.0
+,230633.0
+,232695.0
+,235675.0
+,239449.0
-,241520.0
+,243605.0
+,250501.0
+,251315.0
+,254059.0
+,255309.0
-,255317.0
+,258552.0
-,258846.0
-,259858.0
+,259860.0
-,262332.0
+,264202.0
-,264705.0
+,264834.0
-,268705.0
+,268753.0
+,274697.0
-,274740.0
+,289966.0
+,290857.0
+,291969.0
-,295925.0
+,296181.0
-,297358.0
-,300156.0
+,300239.0
+,302227.0
-,302286.0
+,303466.0
+,307056.0
-,307061.0
+,310632.0
-,310810.0
+,312518.0
-,312545.0
+,316527.0
-,316533.0
-,324526.0
+,324533.0
-,331296.0
+,331313.0
-,335603.0
+,335643.0
+,337662.0
-,341650.0
+,341703.0
+,345877.0
-,346144.0
-,347685.0
-,348493.0
+,349097.0
-,360145.0
+,360159.0
+,361794.0
-,361935.0
+,364555.0
+,365292.0
-,366083.0
-,366936.0
+,366997.0
-,367970.0
+,368004.0
-,368608.0
-,373115.0
+,373134.0
+,374789.0
-,375392.0
-,383275.0
+,383295.0
-,385340.0
-,385873.0
-,386549.0
+,389024.0
+,390005.0
+,391366.0
+,392657.0
-,393529.0
+,393725.0
+,394866.0
+,395982.0
+,397024.0
+,398102.0
-,399136.0
+,399151.0
+,402240.0
+,404765.0
-,404769.0
+,407137.0
+,410103.0
-,410116.0
-,411586.0
+,412371.0
-,418311.0
+,420416.0
+,420707.0
+,422209.0
+,424466.0
-,428748.0
+,428760.0
+,430136.0
-,430205.0
-,432217.0
+,439673.0
+,448320.0
+,450374.0
+,453661.0
+,453847.0
-,457112.0
-,461407.0
-,472047.0
+,487756.0
+,492098.0
+,492239.0
+,492327.0
+,492498.0
+,492784.0
+,492878.0
+,492977.0
+,494653.0
+,497940.0
+,498127.0
-,498602.0
+,501639.0
-,501747.0
-,507560.0
+,529521.0
+,534564.0
-,534735.0
+,537379.0
+,538523.0
+,540319.0
+,543842.0
-,543858.0
+,547370.0
-,547558.0
+,550788.0
+,555204.0
+,556795.0
-,556819.0
-,558591.0
+,562916.0
+,563884.0
-,563888.0
+,565578.0
-,568427.0
+,569251.0
-,569253.0
-,570018.0
+,570066.0
-,574271.0
+,574283.0
-,576103.0
+,576116.0
-,583002.0
+,583050.0
+,585010.0
+,590508.0
+,591905.0
+,593037.0
+,595335.0
+,597290.0
+,599819.0
+,603677.0
+,605967.0
+,608623.0
+,610143.0
-,611136.0
+,611555.0
-,613697.0
+,620814.0
-,623187.0
+,623196.0
-,624522.0
-,627876.0
-,629689.0
+,629728.0
+,634463.0
-,634480.0
+,638071.0
+,639611.0
-,639727.0
+,639958.0
+,640969.0
+,644101.0
+,646284.0
-,649679.0
-,650371.0
+,650371.0
+,656629.0
+,658994.0
-,659482.0
+,664736.0
-,669999.0
+,670000.0
-,672875.0
+,672879.0
-,674759.0
-,679227.0
+,682310.0
+,685638.0
-,685660.0
+,689386.0
+,690042.0
-,693891.0
+,694018.0
+,696996.0
-,699144.0
+,699172.0
-,702395.0
+,712143.0
-,712185.0
+,716090.0
+,718796.0
-,721239.0
+,721319.0
-,722698.0
+,722720.0
