strand,location
+,38
+,148
+,683
+,688
+,703
+,1009
-,1176
+,1886
+,1965
+,2581
+,2811
+,3066
+,3368
+,3396
+,3401
+,4241
-,6484
+,8191
+,8198
+,8211
+,8230
+,8232
+,8352
+,8638
+,9277
+,12048
+,12142
+,12891
+,13044
+,13046
+,13048
+,13052
+,13058
+,13064
+,13083
+,13111
+,13127
+,13129
+,15463
+,15553
-,16961
+,18023
+,18025
+,20343
-,20677
-,20910
-,21020
-,21045
-,21094
-,21098
-,21112
-,21118
-,21155
-,21157
-,21159
-,21207
+,21383
+,21835
+,22220
+,22222
+,22229
+,22244
+,22262
+,22279
+,22306
+,22371
+,23007
+,23888
+,24198
+,24243
+,24709
+,24918
+,27263
+,28287
+,28293
+,28343
+,31596
+,31603
+,34216
+,34218
-,38400
+,47215
+,49799
-,51998
-,52034
-,52194
-,52477
-,52548
-,52587
-,53904
-,54275
-,54363
-,54605
-,54746
-,54754
-,54761
-,54765
-,54884
-,55120
-,55146
-,55785
-,55791
-,55800
-,55908
-,55916
-,55920
-,56036
-,56466
-,56724
-,57156
-,57241
-,57253
+,57261
+,59042
+,59069
-,62712
-,62992
-,63450
-,63588
+,71271
-,75608
-,79281
-,79386
-,79955
-,80236
-,80442
-,80589
-,80670
-,81214
-,81440
-,81451
-,81559
-,82058
-,82080
-,82123
-,82207
-,82255
-,82361
-,82593
-,82671
-,82704
-,83028
-,83030
-,83034
-,83349
-,83728
-,83735
+,84304
+,85599
+,86542
+,86559
+,87478
+,87969
+,89040
+,89361
+,89589
+,90328
+,90367
+,92485
+,94608
+,94683
+,96153
+,96972
+,96982
+,96984
+,96988
+,96993
+,96997
+,97532
+,97539
+,97550
+,100621
+,102049
+,102679
+,102865
+,102872
+,103019
+,103024
+,103028
+,103133
+,103608
+,103889
+,103960
+,104188
+,104305
+,105087
+,105093
+,105291
+,105670
+,105677
-,105795
+,105816
+,106531
+,106940
+,107603
+,107668
+,108025
+,108134
+,108703
+,108722
+,108821
+,109037
+,109101
+,109106
+,109414
+,109478
+,110273
+,110296
+,110304
+,110313
+,110324
+,110327
+,110338
+,110340
+,110668
+,110671
+,110684
+,110686
+,110690
+,110696
+,110709
-,112251
-,112273
-,112599
-,112607
-,112609
-,112617
-,112696
-,112703
+,113394
+,113396
-,118078
-,120916
-,120919
-,120955
-,121676
+,122034
+,122852
+,122860
+,122969
+,123388
+,123472
+,124973
+,125226
+,125425
+,127432
+,127436
+,127896
+,127898
+,127900
+,127907
+,127929
+,127953
+,130229
+,131743
+,132124
+,132840
+,133449
+,133468
+,134339
