strand,location
-,24.0
+,64.0
+,3115.0
+,9499.0
+,9614.0
+,11364.0
+,11540.0
+,11627.0
+,14636.0
-,14807.0
-,17238.0
+,17421.0
-,19194.0
+,20598.0
+,20823.0
+,22197.0
+,22384.0
-,22456.0
+,23167.0
-,23828.0
+,26731.0
+,31832.0
+,32008.0
+,32095.0
+,35458.0
+,35765.0
-,44808.0
+,44839.0
-,45224.0
-,47673.0
+,48554.0
+,52592.0
+,53063.0
-,53363.0
+,53408.0
+,55815.0
+,59437.0
+,64675.0
+,70052.0
+,70338.0
-,71190.0
+,74865.0
+,82737.0
-,88050.0
+,90266.0
+,92089.0
+,95181.0
+,95354.0
+,95530.0
+,95731.0
+,95846.0
+,96032.0
+,96221.0
+,97945.0
+,101037.0
+,101289.0
+,106044.0
+,110996.0
+,119995.0
+,129283.0
+,134112.0
-,153039.0
+,153720.0
+,154732.0
+,155963.0
+,157365.0
-,158050.0
-,159149.0
+,162445.0
+,165535.0
+,165707.0
+,165902.0
+,166033.0
+,166140.0
+,166328.0
+,168053.0
+,171141.0
+,171314.0
+,173049.0
+,176141.0
+,178559.0
-,179555.0
+,179625.0
-,183374.0
-,185154.0
-,193035.0
+,194435.0
+,194621.0
+,194786.0
+,196092.0
+,199883.0
-,201802.0
+,202119.0
+,213071.0
+,213509.0
-,223179.0
+,223274.0
+,226288.0
+,227994.0
-,228509.0
+,228562.0
-,230779.0
+,230818.0
-,232974.0
+,233007.0
-,233954.0
+,235913.0
-,238124.0
+,238169.0
+,245086.0
+,246532.0
+,249913.0
+,251359.0
+,252458.0
-,253478.0
+,253522.0
-,254867.0
+,257726.0
+,258847.0
-,260083.0
+,260126.0
-,262692.0
+,267703.0
+,273978.0
+,276798.0
+,277062.0
+,280034.0
-,280556.0
+,281754.0
-,282233.0
+,282937.0
-,286733.0
+,286816.0
-,288613.0
+,288651.0
+,292082.0
-,292841.0
-,294575.0
+,294615.0
+,298370.0
-,299398.0
+,299438.0
+,302288.0
-,303764.0
+,304377.0
+,305591.0
+,308184.0
-,310840.0
+,310882.0
+,317643.0
+,318967.0
-,319140.0
-,323998.0
+,324040.0
+,326812.0
+,329637.0
-,332401.0
+,332436.0
-,335729.0
+,336130.0
-,339116.0
+,339146.0
-,339807.0
-,340573.0
+,340625.0
+,344497.0
-,347670.0
-,349956.0
+,349999.0
-,351802.0
-,353860.0
+,356316.0
-,358263.0
+,364182.0
+,365794.0
-,367265.0
+,370145.0
+,371732.0
-,374563.0
+,375944.0
+,376434.0
+,391060.0
+,391060.0
+,403156.0
-,404418.0
+,404483.0
-,407460.0
+,407505.0
-,407638.0
-,408200.0
-,409056.0
-,411538.0
-,416195.0
+,416235.0
-,419723.0
+,419787.0
+,424143.0
-,424168.0
+,430125.0
-,430185.0
-,430316.0
-,430583.0
-,435996.0
+,436029.0
-,438476.0
-,439985.0
+,440063.0
+,444378.0
-,446134.0
+,446169.0
+,449591.0
+,452779.0
+,453934.0
-,454612.0
-,455731.0
+,455778.0
+,456857.0
-,463070.0
+,463112.0
+,466984.0
+,469254.0
+,469367.0
-,470917.0
+,470977.0
+,474634.0
-,475544.0
+,475580.0
+,478781.0
+,485996.0
+,486235.0
-,489666.0
+,490594.0
-,490705.0
+,490854.0
-,491107.0
-,492500.0
-,492614.0
+,494417.0
+,494917.0
-,495406.0
+,495743.0
+,501471.0
+,504634.0
-,506282.0
+,506337.0
-,507683.0
+,510797.0
+,512681.0
-,514976.0
+,517297.0
+,518581.0
-,519083.0
+,519333.0
+,524289.0
-,525021.0
+,525689.0
+,528873.0
+,528974.0
+,529060.0
+,529162.0
+,529255.0
+,529422.0
-,529465.0
+,530352.0
-,532412.0
+,532592.0
+,546015.0
-,546051.0
+,548597.0
+,549910.0
-,549923.0
+,551999.0
-,552012.0
+,553198.0
+,554515.0
+,557489.0
+,558098.0
+,559041.0
-,559362.0
+,559504.0
-,561140.0
+,561166.0
-,561474.0
+,563501.0
-,563574.0
+,566141.0
+,568148.0
+,568978.0
-,569250.0
-,570331.0
+,572820.0
-,573412.0
+,575602.0
-,575672.0
+,576842.0
-,576906.0
+,578973.0
+,579272.0
+,581329.0
+,581454.0
-,582496.0
+,582519.0
+,585077.0
-,585115.0
+,586588.0
-,586588.0
+,589641.0
-,591895.0
+,591931.0
-,593367.0
-,595069.0
+,598583.0
-,599067.0
+,599107.0
+,601766.0
-,604696.0
+,605269.0
-,606659.0
-,608206.0
+,612085.0
-,612151.0
-,614845.0
+,614889.0
+,616585.0
+,617974.0
-,619281.0
+,619322.0
-,621545.0
-,622253.0
+,622258.0
+,624390.0
-,625085.0
+,625149.0
-,626346.0
+,630114.0
+,633902.0
-,633923.0
+,635186.0
+,635273.0
+,636987.0
+,640082.0
+,640254.0
+,640344.0
+,640481.0
+,644338.0
-,644488.0
-,648702.0
+,648744.0
-,651977.0
-,652290.0
-,652511.0
+,657737.0
-,657793.0
-,658813.0
+,658899.0
+,663224.0
+,664709.0
-,664735.0
+,670032.0
+,671089.0
-,674792.0
+,674825.0
-,677871.0
+,677903.0
-,680867.0
+,680913.0
-,681122.0
-,683422.0
-,685115.0
+,687874.0
+,694321.0
+,694527.0
+,696024.0
+,697038.0
+,697364.0
+,697485.0
+,698329.0
-,711416.0
+,711456.0
-,713268.0
+,713333.0
-,716740.0
+,716785.0
-,725995.0
-,726800.0
+,726828.0
-,731914.0
+,731979.0
+,736153.0
-,738955.0
-,746221.0
-,747039.0
+,747189.0
+,750837.0
+,752357.0
+,753171.0
+,753742.0
+,755820.0
+,758018.0
+,761598.0
+,770153.0
+,774020.0
+,779447.0
-,783392.0
+,785116.0
-,785976.0
+,787560.0
+,787922.0
-,789612.0
+,789668.0
-,791422.0
+,791467.0
+,795907.0
+,798273.0
-,803277.0
+,803326.0
-,804617.0
-,805416.0
+,809462.0
+,811486.0
+,812055.0
+,813858.0
+,814304.0
-,814344.0
-,817770.0
+,817797.0
+,820073.0
-,821232.0
-,826803.0
+,827923.0
+,829295.0
+,830858.0
+,834227.0
+,836574.0
-,837695.0
-,838743.0
+,838782.0
+,840126.0
-,842007.0
+,842054.0
+,844685.0
-,846142.0
+,849552.0
+,854312.0
-,855074.0
+,855117.0
-,860263.0
+,861944.0
-,863822.0
+,863837.0
+,865153.0
-,867124.0
+,867165.0
+,869498.0
-,870348.0
+,870390.0
-,871307.0
+,874842.0
+,877496.0
+,878810.0
+,883682.0
-,885804.0
+,885848.0
+,887809.0
+,893838.0
+,897473.0
+,898907.0
+,899945.0
+,903727.0
+,905712.0
-,909123.0
+,909165.0
+,910691.0
-,911330.0
-,911924.0
+,911968.0
-,914417.0
+,914500.0
-,916084.0
-,919326.0
+,919388.0
+,922543.0
-,924170.0
+,924211.0
-,926651.0
+,926783.0
-,928072.0
+,928698.0
+,930625.0
-,934417.0
+,934504.0
-,936733.0
+,938627.0
-,941128.0
+,941131.0
-,942409.0
+,944404.0
-,944919.0
+,944964.0
+,948250.0
+,951431.0
+,951753.0
+,952030.0
+,952118.0
+,952284.0
+,952470.0
+,952651.0
+,953194.0
+,953294.0
-,953333.0
+,954534.0
-,954539.0
+,955625.0
+,955762.0
-,957665.0
+,958613.0
-,959495.0
+,959548.0
+,961338.0
+,965197.0
-,966156.0
+,966218.0
-,967189.0
-,972833.0
+,972846.0
+,975091.0
+,976449.0
+,984210.0
-,984222.0
+,985771.0
-,988013.0
+,988417.0
+,989631.0
-,990572.0
+,990720.0
-,995584.0
+,995634.0
-,996597.0
+,997078.0
+,997637.0
+,999983.0
+,1000218.0
+,1002362.0
+,1004923.0
-,1010944.0
+,1011009.0
-,1011752.0
-,1013371.0
+,1013617.0
-,1013918.0
+,1013971.0
-,1017043.0
+,1017093.0
+,1018937.0
+,1020042.0
+,1023140.0
+,1024787.0
-,1026215.0
+,1026260.0
-,1028193.0
+,1028242.0
+,1031300.0
-,1032023.0
+,1032034.0
-,1036913.0
+,1036979.0
+,1038814.0
-,1040821.0
+,1040877.0
-,1042845.0
+,1042882.0
-,1044333.0
-,1049102.0
+,1049133.0
-,1049991.0
-,1050403.0
-,1050771.0
-,1055103.0
+,1055139.0
+,1056622.0
+,1057608.0
-,1059163.0
+,1059225.0
-,1062239.0
+,1062298.0
+,1064779.0
+,1070026.0
-,1070324.0
+,1070363.0
-,1071709.0
+,1072225.0
-,1072963.0
-,1073855.0
+,1073875.0
-,1074350.0
+,1076008.0
-,1076420.0
-,1077024.0
-,1080110.0
+,1080172.0
+,1086035.0
+,1089649.0
-,1092730.0
+,1092768.0
-,1094366.0
-,1096520.0
+,1096563.0
+,1100903.0
-,1102520.0
+,1102561.0
-,1104383.0
+,1104424.0
+,1107672.0
-,1108696.0
+,1108744.0
-,1112580.0
-,1114017.0
-,1116543.0
+,1116595.0
+,1117833.0
+,1118790.0
-,1119122.0
+,1119159.0
-,1120996.0
+,1122721.0
-,1124979.0
+,1125005.0
+,1126369.0
-,1130759.0
+,1131082.0
-,1135215.0
+,1135265.0
-,1135659.0
-,1147493.0
+,1148497.0
+,1151285.0
+,1153661.0
-,1156464.0
+,1156513.0
+,1159149.0
-,1159171.0
-,1160736.0
+,1162206.0
+,1164201.0
-,1165409.0
+,1165438.0
-,1168046.0
+,1168231.0
-,1169837.0
+,1169889.0
-,1174096.0
+,1174131.0
