strand,location
+,256
+,267
+,3860
+,9230
+,9230
+,9920
-,10394
+,14145
+,17007
+,17007
+,17501
+,17501
+,18696
+,18696
-,20763
-,20763
-,21040
+,25325
+,25325
+,25802
+,29275
+,34117
+,50365
-,51371
-,52491
-,53259
-,54365
-,54365
+,57344
-,63352
-,63352
-,75517
-,75517
+,77593
+,77593
-,78740
-,83641
-,83641
+,89783
+,91164
+,92658
+,92658
+,104642
+,106673
+,106673
+,106817
+,107550
+,107551
+,107811
+,107811
+,114526
+,118766
-,120140
+,122234
+,122287
+,122941
+,122968
+,126872
+,127845
+,127851
+,131587
+,131587
+,134269
-,134751
-,134752
-,136766
-,141973
-,141974
+,142003
-,146275
-,146276
-,160097
-,160097
-,160387
+,161708
+,164636
+,176994
+,176994
-,178423
-,178423
-,178796
-,178797
+,182347
-,183649
-,183649
-,185087
-,185087
+,189839
+,189839
+,190800
+,190800
+,194843
+,194844
+,196856
+,196856
+,197476
+,198046
+,200438
+,201053
+,201053
+,201608
+,201623
+,202063
+,202063
+,202315
+,202315
+,203409
+,203409
+,208504
-,213631
-,214055
-,214116
-,220052
-,220053
+,222856
+,222898
+,223637
+,223766
+,223766
+,225639
+,225751
+,225751
+,229007
+,229007
-,233782
-,233782
-,233999
+,237009
+,237009
+,240856
+,240856
-,246130
-,246481
-,254210
-,255715
-,255715
+,258004
+,258006
+,258266
+,258266
+,262170
+,262170
+,291542
+,291542
-,294641
+,295779
+,303059
-,303436
-,303437
+,309546
+,309547
+,311549
+,311549
-,312271
-,323827
-,323827
-,328531
+,343235
+,344614
+,344614
+,346082
+,346082
+,376920
+,376920
+,395670
-,399014
+,401074
+,401074
-,402836
+,402873
-,404015
+,405011
+,406429
+,406430
+,407719
+,407719
+,426580
+,427013
+,427014
-,430187
+,433846
+,433846
+,434832
+,434832
+,435946
-,437359
+,437597
-,440634
+,444551
+,444551
-,445997
-,445997
-,447478
-,447721
-,447782
-,448904
-,450421
-,450754
-,450754
-,451617
-,451617
+,454092
+,454092
+,454754
-,454960
+,455716
+,455930
+,457062
+,457982
+,457982
+,460736
+,461008
+,461008
+,461174
+,463082
+,463082
+,467493
+,467493
+,469622
+,475785
+,475785
-,476256
-,477776
-,477776
-,477962
-,478474
-,479047
-,479047
-,479531
-,479531
-,479860
-,479860
-,489127
+,490611
+,493241
+,494266
+,497163
+,497163
+,505826
+,506511
+,506511
+,507897
+,507995
-,516542
+,529304
+,529304
+,533085
+,533086
-,553096
-,553096
+,554522
+,555259
-,555849
-,555850
+,564022
+,564022
+,567931
+,571573
-,573589
-,573590
-,573699
-,577667
-,583854
-,583855
-,584589
-,603962
-,603963
-,606959
-,606959
-,609349
-,621375
-,621375
-,623790
-,623903
-,623903
+,624167
+,629175
+,629177
+,638019
+,638019
+,638891
+,638891
-,642720
+,656768
+,656768
-,659334
-,659334
-,659443
-,659443
-,661561
-,661562
-,663241
+,663324
+,663324
-,665071
-,670765
-,670765
+,674785
+,674785
+,674900
+,674900
-,682648
-,685906
+,685942
+,688561
-,689960
-,692722
-,695651
-,696186
-,696186
-,700593
-,700593
+,705192
+,707557
+,709410
+,709410
-,709634
-,709755
-,709868
-,709868
-,710120
+,728464
+,732774
+,734688
+,738268
-,752352
-,752352
-,753870
-,753870
+,754314
+,754314
+,755885
+,757110
+,757754
+,757930
+,758003
+,758406
+,761566
+,761566
+,762204
+,764371
+,764371
+,770660
+,773597
+,778897
+,778897
+,779657
+,779657
+,779857
+,780065
+,780065
+,780369
+,780369
+,780671
+,780875
-,784114
+,784969
+,785127
+,786047
-,786991
-,786992
-,791228
+,794051
+,794051
+,794177
+,794179
+,795218
+,797604
-,805045
-,806620
+,816269
+,816275
+,816437
+,823913
+,824303
-,837390
-,838086
-,838442
-,840677
-,844784
-,846423
-,846423
-,847563
-,847563
-,847888
-,848027
+,849516
+,849518
+,849678
+,849678
+,849748
+,849941
+,850234
+,850234
-,852039
-,852068
-,869237
-,869237
+,877887
-,887200
-,887200
-,889117
-,889118
-,889685
-,889685
+,892705
-,898867
-,921525
+,922433
+,922433
-,925382
-,925382
-,925791
-,925791
-,930246
+,931653
+,931653
+,932399
+,932399
+,934154
+,937288
+,938652
+,938670
-,944124
+,946292
-,950379
-,950379
-,954017
-,954017
+,961191
+,961192
+,963000
+,963000
+,963388
+,963388
+,970867
+,970867
+,972861
+,982344
+,982348
-,983702
-,983702
-,984012
-,984872
-,984872
-,985064
-,985064
-,985411
-,985635
-,985992
-,986193
-,986273
+,986867
-,989526
-,989526
+,989822
+,992498
+,992498
+,1005809
+,1011952
+,1014982
-,1015120
+,1015149
+,1015150
-,1018200
-,1018528
-,1018781
-,1018781
-,1019074
-,1019074
-,1019342
-,1019343
-,1025748
-,1025748
-,1026197
-,1027867
-,1029475
-,1029476
-,1029934
-,1029934
-,1030366
-,1030615
-,1030632
-,1030848
-,1030848
-,1041144
-,1049876
-,1049876
+,1051123
+,1051124
+,1051502
+,1051502
+,1061770
-,1062923
-,1074102
+,1078483
+,1084295
-,1106920
-,1119875
-,1119877
-,1120177
-,1120177
-,1121908
+,1140286
-,1143548
-,1143749
+,1145980
+,1145980
+,1146134
+,1146141
+,1146429
+,1146571
+,1146571
+,1146715
+,1146822
+,1146931
+,1146931
+,1150539
+,1151111
+,1151111
+,1152451
+,1152451
+,1157140
+,1157180
-,1158545
+,1161657
+,1165248
-,1189797
-,1189798
-,1192784
-,1192947
+,1194323
+,1194461
+,1195645
+,1195645
-,1196012
+,1198918
-,1200418
-,1200480
-,1200646
-,1200646
+,1201134
-,1202974
-,1202974
-,1217842
-,1217899
-,1223448
-,1223448
-,1225322
-,1225322
+,1225447
+,1225447
+,1226288
+,1227466
-,1231691
+,1238367
+,1239243
-,1241281
-,1246879
-,1247918
-,1252191
-,1252191
-,1255859
-,1255859
+,1258046
+,1258046
+,1258342
-,1260110
-,1260112
-,1261185
-,1261187
+,1262998
+,1262998
+,1268583
+,1268611
+,1269118
+,1269118
+,1269653
+,1269653
+,1269971
-,1272439
-,1286465
-,1286465
-,1286582
-,1286582
-,1286757
-,1286758
-,1286886
+,1288380
+,1288380
-,1291681
-,1291698
-,1291812
-,1292119
-,1292121
+,1293421
+,1293421
-,1294547
-,1294547
-,1297226
-,1297478
-,1297478
+,1298721
+,1298721
+,1298842
+,1298942
+,1299260
+,1299743
+,1300876
+,1300880
+,1306869
-,1306987
-,1306987
+,1307016
+,1307016
-,1308543
-,1308544
-,1312693
-,1313812
-,1314407
-,1320995
+,1325785
-,1328408
+,1328439
+,1331847
+,1331847
+,1333859
+,1335769
-,1337181
-,1337181
-,1341571
-,1341571
-,1348232
