strand,location
+,1.0
+,150.0
-,1067.0
+,3166.0
+,9529.0
+,9810.0
+,11464.0
+,11552.0
+,11709.0
+,14692.0
-,15834.0
+,17453.0
-,17833.0
-,19923.0
+,20611.0
+,20840.0
+,22292.0
+,22452.0
-,23809.0
+,25655.0
-,25806.0
+,26774.0
+,31932.0
+,32020.0
+,32177.0
+,35491.0
+,35805.0
-,45178.0
-,45399.0
+,45524.0
+,48589.0
-,50019.0
+,52649.0
+,53111.0
+,53476.0
-,55717.0
+,55826.0
+,59464.0
+,64777.0
+,70181.0
+,70382.0
-,71799.0
+,74889.0
+,82824.0
-,89566.0
+,90318.0
+,92254.0
+,95237.0
+,95375.0
+,95567.0
+,95772.0
+,95861.0
+,96060.0
+,96392.0
+,98110.0
+,101093.0
+,101409.0
+,106056.0
+,111007.0
+,120021.0
+,129300.0
+,134131.0
-,153507.0
+,153737.0
+,154838.0
+,156069.0
+,157381.0
-,159112.0
-,160583.0
+,162610.0
+,165591.0
+,165754.0
+,165959.0
+,166064.0
+,166168.0
+,166500.0
+,168218.0
+,171197.0
+,171498.0
+,173214.0
+,176197.0
+,178625.0
-,183363.0
-,185043.0
-,193005.0
-,194065.0
+,194205.0
+,194458.0
+,194669.0
+,194809.0
+,196132.0
+,200017.0
-,203498.0
+,203689.0
+,213115.0
+,213878.0
-,224972.0
+,225024.0
+,226436.0
+,228026.0
-,229392.0
+,229485.0
-,231119.0
+,231308.0
-,233935.0
+,234998.0
-,235489.0
+,235925.0
-,243701.0
+,243852.0
+,245150.0
+,246583.0
+,249939.0
+,251387.0
+,252474.0
-,254802.0
+,257545.0
-,257643.0
+,257751.0
+,258887.0
-,262643.0
-,265214.0
+,265436.0
+,267772.0
+,273989.0
+,276815.0
+,277120.0
+,280046.0
-,282195.0
+,282429.0
+,282963.0
-,283231.0
+,287459.0
-,287460.0
-,290738.0
+,290875.0
+,292165.0
-,293304.0
-,296325.0
+,296389.0
+,298426.0
-,300693.0
+,300790.0
+,302355.0
-,304389.0
+,304390.0
+,305618.0
+,308292.0
+,311859.0
-,311915.0
+,317685.0
-,320763.0
+,320973.0
-,325277.0
+,325299.0
+,326848.0
+,329734.0
-,334019.0
+,334052.0
-,337472.0
+,337522.0
-,339789.0
+,339879.0
-,339955.0
-,341414.0
+,341452.0
+,344511.0
-,349525.0
-,351782.0
-,352736.0
+,352793.0
-,358221.0
-,362797.0
+,362897.0
+,364219.0
+,365810.0
+,370219.0
+,372801.0
-,374532.0
-,375838.0
+,375992.0
+,376667.0
+,387744.0
+,398492.0
+,403177.0
-,406047.0
+,406091.0
-,407627.0
-,408135.0
-,408927.0
-,411502.0
-,412490.0
+,412500.0
+,417953.0
-,418267.0
-,420024.0
+,420070.0
-,426404.0
+,426537.0
-,430274.0
-,430509.0
-,432027.0
+,432271.0
-,438419.0
-,439609.0
+,439669.0
-,441504.0
+,441531.0
+,444421.0
-,449073.0
+,449158.0
+,449651.0
+,452790.0
+,453989.0
-,455300.0
-,455975.0
+,456028.0
+,456926.0
+,463205.0
-,463823.0
+,467042.0
+,469286.0
+,469386.0
-,471542.0
+,471669.0
+,474691.0
-,475914.0
+,476019.0
+,478812.0
+,486092.0
+,486278.0
-,490638.0
+,490639.0
-,491083.0
-,492464.0
-,492577.0
-,493481.0
+,493519.0
+,494466.0
+,494969.0
+,496980.0
-,497738.0
+,501539.0
+,504649.0
-,506670.0
+,506826.0
-,508113.0
+,510862.0
+,512754.0
-,515655.0
+,517332.0
+,518617.0
+,519368.0
-,520750.0
+,524452.0
+,525703.0
-,528076.0
+,528903.0
+,528986.0
+,529087.0
+,529174.0
+,529336.0
+,529454.0
-,531553.0
+,531747.0
+,532604.0
-,532652.0
-,547006.0
+,547266.0
+,548670.0
+,551074.0
-,551299.0
-,552541.0
+,552576.0
+,553671.0
+,554629.0
+,557833.0
+,558368.0
+,559146.0
+,560621.0
-,560652.0
-,561456.0
-,562429.0
+,562462.0
-,564526.0
+,564664.0
+,566171.0
+,568305.0
-,569989.0
-,571274.0
+,571349.0
+,572934.0
-,574475.0
-,576163.0
+,576169.0
-,578173.0
+,578297.0
+,579007.0
+,579354.0
+,581341.0
+,581654.0
-,583496.0
+,583549.0
-,585818.0
+,585828.0
-,587516.0
+,587704.0
+,589677.0
-,593301.0
-,595038.0
-,596095.0
+,596438.0
+,598659.0
+,600979.0
-,602753.0
+,602972.0
-,606611.0
-,608115.0
-,608804.0
+,608893.0
-,613370.0
+,613552.0
-,615761.0
+,615831.0
+,616632.0
+,618055.0
-,621525.0
-,621613.0
+,621713.0
-,623330.0
+,623333.0
+,624452.0
-,626331.0
-,626446.0
+,626582.0
+,630130.0
-,634776.0
+,635022.0
+,635200.0
+,635433.0
+,637155.0
+,640138.0
+,640268.0
+,640405.0
+,640622.0
+,646220.0
-,646496.0
-,649704.0
+,649718.0
-,652245.0
-,652418.0
-,653018.0
+,658495.0
-,658758.0
-,659558.0
+,659583.0
+,663288.0
-,667304.0
+,667383.0
+,670047.0
+,671205.0
-,675897.0
+,676139.0
+,678515.0
-,679246.0
-,681105.0
-,683404.0
-,685043.0
+,686922.0
-,686929.0
+,688144.0
+,694425.0
+,694622.0
+,696054.0
+,697093.0
+,697399.0
+,697498.0
+,698369.0
-,711915.0
+,711979.0
+,713624.0
-,713956.0
-,718397.0
+,718582.0
-,726773.0
-,728449.0
+,728598.0
+,732876.0
-,732898.0
+,736396.0
-,739937.0
-,746879.0
-,749603.0
+,749735.0
+,750919.0
+,752372.0
+,753225.0
+,753777.0
+,755867.0
+,758053.0
+,761622.0
+,770194.0
+,774098.0
+,779489.0
-,785945.0
-,786536.0
+,786689.0
+,787675.0
+,787952.0
-,790195.0
+,790278.0
-,792572.0
+,792642.0
+,796008.0
+,798340.0
-,804586.0
-,805404.0
-,806881.0
+,807051.0
+,809517.0
+,811529.0
+,812100.0
+,814069.0
-,815980.0
+,816073.0
+,818976.0
-,820571.0
+,820648.0
-,826774.0
-,827324.0
+,827953.0
+,829342.0
+,830905.0
+,834310.0
+,836613.0
-,838050.0
+,839062.0
+,840616.0
-,841664.0
+,843132.0
-,844595.0
+,844730.0
-,850214.0
+,850327.0
+,854372.0
-,859542.0
+,859705.0
-,861841.0
+,861964.0
+,864500.0
-,865077.0
+,865165.0
-,869168.0
+,869233.0
+,869519.0
-,871288.0
-,872346.0
+,872385.0
+,875144.0
+,877559.0
+,878962.0
+,883718.0
+,887222.0
-,889726.0
+,889982.0
+,893864.0
+,897548.0
+,898921.0
+,900040.0
+,903771.0
+,905776.0
-,909826.0
+,909979.0
+,910800.0
-,911718.0
-,913840.0
+,913884.0
-,916053.0
-,916646.0
+,916738.0
+,920382.0
-,920383.0
+,922578.0
+,925460.0
-,925584.0
+,926846.0
-,926919.0
-,928304.0
+,928763.0
+,930671.0
+,935578.0
-,935588.0
-,937037.0
+,938656.0
-,942320.0
+,943851.0
+,944447.0
-,944498.0
+,945324.0
-,945352.0
+,948418.0
+,951457.0
+,951788.0
+,952042.0
+,952131.0
+,952307.0
+,952495.0
+,952701.0
+,953213.0
-,954189.0
+,954251.0
+,954853.0
-,954891.0
+,955655.0
+,955855.0
-,959100.0
+,959250.0
+,961009.0
-,961026.0
+,961354.0
+,965221.0
-,966911.0
+,967065.0
-,967892.0
-,973008.0
+,973116.0
+,975132.0
+,976529.0
+,984790.0
-,986853.0
+,986946.0
-,988912.0
+,988982.0
+,989672.0
-,991305.0
+,991308.0
-,996572.0
+,996603.0
-,997083.0
+,997135.0
+,997684.0
+,1000027.0
+,1000282.0
+,1002410.0
+,1004935.0
-,1011266.0
+,1011387.0
-,1013298.0
+,1013861.0
-,1013891.0
+,1015607.0
-,1015656.0
+,1018650.0
+,1018958.0
-,1020988.0
+,1021017.0
+,1023253.0
+,1024825.0
-,1027704.0
+,1027734.0
-,1030171.0
+,1030225.0
+,1031355.0
+,1032054.0
-,1033929.0
-,1038459.0
+,1038543.0
+,1038869.0
+,1041733.0
-,1041809.0
-,1044317.0
-,1044913.0
+,1044967.0
-,1049966.0
-,1050345.0
-,1050701.0
-,1053359.0
+,1053480.0
-,1056256.0
+,1056384.0
+,1056662.0
+,1057640.0
-,1061366.0
+,1061451.0
-,1062504.0
+,1062551.0
+,1064806.0
+,1070071.0
-,1071282.0
+,1071362.0
-,1072600.0
+,1072728.0
-,1073757.0
-,1074291.0
+,1074341.0
-,1076408.0
-,1076992.0
-,1077320.0
+,1077400.0
-,1083769.0
+,1083811.0
+,1086077.0
+,1089715.0
-,1093787.0
+,1093834.0
-,1094987.0
-,1098300.0
+,1098372.0
+,1100940.0
-,1102995.0
+,1103064.0
-,1105635.0
+,1105963.0
+,1107693.0
-,1112525.0
-,1113958.0
-,1115626.0
+,1115658.0
+,1117069.0
+,1117924.0
-,1118673.0
+,1118810.0
-,1120947.0
+,1121267.0
-,1121438.0
+,1122762.0
+,1125843.0
+,1128482.0
-,1129651.0
