strand,location
+,5060.0
+,5570.0
-,5643.0
+,9188.0
+,9188.0
-,9888.0
+,9933.0
-,10603.0
+,15295.0
+,15295.0
+,16597.0
-,16711.0
+,17006.0
+,19660.0
-,19771.0
-,20775.0
-,20815.0
+,25741.0
+,28247.0
+,29235.0
+,34035.0
+,34035.0
+,34735.0
-,34741.0
-,36231.0
-,39204.0
+,47178.0
+,49671.0
-,50340.0
+,50342.0
-,53416.0
-,54715.0
-,54755.0
+,58219.0
+,59309.0
-,59647.0
-,60358.0
-,63389.0
-,66795.0
-,68348.0
+,72155.0
-,72189.0
-,74497.0
-,75604.0
+,77559.0
-,78808.0
+,78839.0
+,85352.0
+,87888.0
+,89072.0
+,106496.0
+,107514.0
+,111473.0
-,111609.0
-,114482.0
+,114527.0
-,117712.0
-,120138.0
+,120175.0
+,122896.0
+,127584.0
+,127584.0
+,129333.0
+,129333.0
-,129367.0
+,134252.0
-,134748.0
+,134790.0
-,135598.0
-,136530.0
+,138630.0
+,138630.0
-,138795.0
-,141968.0
+,142007.0
+,144512.0
-,146274.0
+,146350.0
-,147904.0
+,147910.0
-,149675.0
-,157213.0
-,160742.0
-,161501.0
+,164574.0
+,167304.0
+,173484.0
-,173562.0
-,176961.0
+,176994.0
+,180751.0
+,180751.0
+,182305.0
+,182305.0
+,183660.0
-,183669.0
-,184217.0
-,188712.0
+,190596.0
+,190596.0
+,191705.0
+,191705.0
+,192577.0
+,192577.0
+,194757.0
+,200357.0
+,200357.0
+,201993.0
+,201993.0
+,209577.0
+,209577.0
-,213638.0
+,213669.0
+,216019.0
-,216139.0
-,218847.0
-,220073.0
+,223448.0
+,225312.0
+,225457.0
+,225575.0
+,228662.0
+,228875.0
+,229004.0
-,229927.0
+,230010.0
-,232557.0
+,232589.0
-,235495.0
+,235578.0
+,236838.0
+,237007.0
+,238160.0
-,238217.0
-,239379.0
+,239418.0
+,240813.0
+,240813.0
-,240819.0
+,244161.0
-,245025.0
+,245134.0
-,245921.0
+,247501.0
+,248174.0
-,248318.0
+,253201.0
-,254219.0
+,254242.0
-,254259.0
+,258227.0
+,258227.0
-,258229.0
-,258269.0
+,262020.0
+,262170.0
-,262334.0
-,262512.0
-,266368.0
-,268473.0
+,271453.0
+,271878.0
+,273218.0
-,273285.0
+,276911.0
-,276940.0
-,279298.0
+,279368.0
+,284432.0
-,287588.0
+,287663.0
-,288485.0
-,288525.0
-,289833.0
+,289897.0
+,291495.0
-,291506.0
-,292404.0
-,294323.0
-,294880.0
+,296478.0
-,296565.0
+,302869.0
-,303037.0
-,303679.0
-,309308.0
-,309930.0
-,311558.0
+,311603.0
-,312325.0
-,312900.0
-,315670.0
+,315717.0
+,316831.0
-,316910.0
-,317860.0
+,320345.0
+,323717.0
-,323880.0
-,324761.0
+,330760.0
-,332685.0
+,332723.0
+,339007.0
+,341771.0
+,343197.0
+,344255.0
-,344850.0
+,344913.0
+,346023.0
-,346041.0
+,348836.0
+,353856.0
+,356675.0
+,356675.0
-,356975.0
+,360410.0
-,360433.0
-,362455.0
-,365612.0
+,374145.0
+,375934.0
+,376575.0
-,376719.0
-,379253.0
-,381775.0
+,381843.0
-,383243.0
+,387867.0
+,387867.0
-,387937.0
-,387977.0
-,390923.0
+,390972.0
-,394314.0
+,394393.0
-,398209.0
+,398230.0
-,399013.0
+,399069.0
+,400910.0
+,402383.0
+,402383.0
+,402865.0
-,404019.0
+,404082.0
+,405486.0
+,406434.0
+,407725.0
+,408214.0
-,408292.0
+,410316.0
-,410481.0
-,411791.0
+,418448.0
+,421623.0
-,423521.0
+,423596.0
+,429740.0
+,430216.0
-,430313.0
-,431496.0
-,436345.0
+,436371.0
-,437499.0
-,442235.0
+,442261.0
+,444395.0
+,444395.0
-,444486.0
-,445999.0
-,451254.0
+,454053.0
+,455695.0
+,456521.0
+,456521.0
+,457921.0
+,457921.0
+,460506.0
+,460987.0
+,463050.0
-,464036.0
+,464064.0
+,467494.0
+,471681.0
+,473473.0
+,473473.0
-,473485.0
-,473525.0
-,475166.0
+,475215.0
+,475785.0
-,476251.0
+,476289.0
-,477965.0
-,478551.0
-,478591.0
-,479274.0
-,480438.0
+,485672.0
+,489162.0
-,489294.0
-,489509.0
+,490523.0
+,491227.0
+,494274.0
+,496258.0
+,497083.0
-,498198.0
+,498281.0
+,500693.0
-,500746.0
-,502660.0
-,505787.0
+,505787.0
+,505787.0
-,506470.0
+,506511.0
+,507823.0
-,508059.0
-,508099.0
+,513132.0
-,513585.0
+,513664.0
-,516609.0
+,516626.0
-,518363.0
+,522094.0
+,528394.0
-,528779.0
+,528856.0
-,529316.0
+,536728.0
+,542297.0
-,542445.0
+,550595.0
-,550710.0
-,551814.0
-,552401.0
-,555215.0
+,555259.0
-,555844.0
-,556098.0
+,558017.0
-,563031.0
+,563108.0
-,563998.0
+,567910.0
+,567910.0
+,569691.0
+,571514.0
+,573602.0
-,573712.0
-,573920.0
+,577772.0
+,577772.0
